DELIVERY_UUID,DELIV_CREATED_AT_EDT,DELIV_STORE_NAME,DELIV_SUBMARKET,DELIV_DASHER_ID,DELIV_D2R,DELIV_IS_20_MIN_LATE,DELIV_CLAT,WAS_CANCELLED,DELIV_MISSING_INCORRECT_REPORT_BINARY,n_items_requested,n_missing,n_subbed,n_found,order_value,avg_item_price,n_categories,has_alcohol,has_perishable,missing_rate,sub_rate,unfulfilled_rate,plain_missing_rate,hour,dow,is_weekend,daypart,STORE_GRP,dasher_assigned,cluster_id
6d24ecb1-b51f-4c1a-a330-f58205d587cb,2022-10-03 19:57:27.648,DashMart1,Cincinnati,,,0,,1,0,2,1,0,1,33.08,16.54,2,0,1,0.5,0.0,0.5,0.5,19,Monday,False,Evening(18-21),DashMart1,0,unassigned_6d24ecb1-b51f-4c1a-a330-f58205d587cb
06e3bfad-aa9a-4ecd-8aa7-b598dd5c945f,2022-10-03 19:44:17.952,Grocery2,Cincinnati,,,0,,1,0,3,0,0,0,7.699999999999999,2.5666666666666664,3,0,1,0.0,0.0,0.0,0.0,19,Monday,False,Evening(18-21),Grocery2/3,0,unassigned_06e3bfad-aa9a-4ecd-8aa7-b598dd5c945f
08fa57c1-a7aa-40ff-ba7b-5a2bda4cff37,2022-10-03 19:21:19.008,Grocery1,Cincinnati,,,0,,1,0,8,0,0,0,43.8,5.475,3,0,1,0.0,0.0,0.0,0.0,19,Monday,False,Evening(18-21),Grocery1,0,unassigned_08fa57c1-a7aa-40ff-ba7b-5a2bda4cff37
f821c109-6160-4cab-9a09-cd977ae7ef35,2022-10-03 18:13:33.888,DashMart1,Cincinnati,,,0,,1,0,1,1,0,0,4.99,4.99,1,0,1,1.0,0.0,1.0,1.0,18,Monday,False,Evening(18-21),DashMart1,0,unassigned_f821c109-6160-4cab-9a09-cd977ae7ef35
262df86f-b7d3-4e1f-ad85-c318bc4aafd8,2022-10-03 12:27:51.840,DashMart1,Cincinnati,,,0,,1,0,3,0,0,3,25.669999999999998,8.556666666666667,2,0,1,0.0,0.0,0.0,0.0,12,Monday,False,Midday(11-14),DashMart1,0,unassigned_262df86f-b7d3-4e1f-ad85-c318bc4aafd8
9353a6a1-ce9c-4a6b-81b2-327a799fda8e,2022-10-03 16:43:32.160,Grocery1,Cincinnati,,,0,,1,0,2,0,0,0,8.55,4.275,2,0,0,0.0,0.0,0.0,0.0,16,Monday,False,Afternoon(15-17),Grocery1,0,unassigned_9353a6a1-ce9c-4a6b-81b2-327a799fda8e
acaee683-e5dc-49c1-b473-8b9e0347ee74,2022-10-03 11:44:53.664,Grocery2,Cincinnati,,,0,,1,0,4,0,0,0,23.45,5.8625,3,0,0,0.0,0.0,0.0,0.0,11,Monday,False,Midday(11-14),Grocery2/3,0,unassigned_acaee683-e5dc-49c1-b473-8b9e0347ee74
8e4790a1-beb6-49ef-9c68-e93e3298c8e9,2022-10-03 00:56:27.744,DashMart1,Cincinnati,,,0,,1,0,5,0,0,5,15.850000000000001,3.1700000000000004,2,0,0,0.0,0.0,0.0,0.0,0,Monday,False,Overnight(0-5),DashMart1,0,unassigned_8e4790a1-beb6-49ef-9c68-e93e3298c8e9
68050d86-5ff3-4102-b973-ccd774d85534,2022-10-02 21:42:40.032,DashMart1,Cincinnati,,,0,,1,0,2,0,0,2,5.880000000000001,2.9400000000000004,2,0,0,0.0,0.0,0.0,0.0,21,Sunday,True,Evening(18-21),DashMart1,0,unassigned_68050d86-5ff3-4102-b973-ccd774d85534
c2f3e446-7199-4905-95df-2b2a9d901032,2022-10-02 21:32:42.144,DashMart1,Cincinnati,,,0,,1,0,2,0,0,2,10.48,5.24,2,0,0,0.0,0.0,0.0,0.0,21,Sunday,True,Evening(18-21),DashMart1,0,unassigned_c2f3e446-7199-4905-95df-2b2a9d901032
